SRR607067 SRR607067_1.fastq.gz SRR607067_2.fastq.gz
SRR607117 SRR607117_1.fastq.gz SRR607117_2.fastq.gz
SRR608264 SRR608264_1.fastq.gz SRR608264_2.fastq.gz
SRR612215 SRR612215_1.fastq.gz SRR612215_2.fastq.gz
SRR612227 SRR612227_1.fastq.gz SRR612227_2.fastq.gz
SRR612395 SRR612395_1.fastq.gz SRR612395_2.fastq.gz
SRR612539 SRR612539_1.fastq.gz SRR612539_2.fastq.gz
SRR612635 SRR612635_1.fastq.gz SRR612635_2.fastq.gz
SRR612683 SRR612683_1.fastq.gz SRR612683_2.fastq.gz
SRR612767 SRR612767_1.fastq.gz SRR612767_2.fastq.gz
SRR613426 SRR613426_1.fastq.gz SRR613426_2.fastq.gz
SRR613699 SRR613699_1.fastq.gz SRR613699_2.fastq.gz
SRR613879 SRR613879_1.fastq.gz SRR613879_2.fastq.gz
SRR613951 SRR613951_1.fastq.gz SRR613951_2.fastq.gz
SRR613999 SRR613999_1.fastq.gz SRR613999_2.fastq.gz
SRR614263 SRR614263_1.fastq.gz SRR614263_2.fastq.gz
SRR614599 SRR614599_1.fastq.gz SRR614599_2.fastq.gz
SRR614839 SRR614839_1.fastq.gz SRR614839_2.fastq.gz
SRR614852 SRR614852_1.fastq.gz SRR614852_2.fastq.gz
SRR615044 SRR615044_1.fastq.gz SRR615044_2.fastq.gz
SRR615105 SRR615105_1.fastq.gz SRR615105_2.fastq.gz
SRR615225 SRR615225_1.fastq.gz SRR615225_2.fastq.gz
SRR615323 SRR615323_1.fastq.gz SRR615323_2.fastq.gz
SRR615611 SRR615611_1.fastq.gz SRR615611_2.fastq.gz
SRR615635 SRR615635_1.fastq.gz SRR615635_2.fastq.gz
SRR615814 SRR615814_1.fastq.gz SRR615814_2.fastq.gz
SRR615862 SRR615862_1.fastq.gz SRR615862_2.fastq.gz
SRR617829 SRR617829_1.fastq.gz SRR617829_2.fastq.gz
SRR627431 SRR627431_1.fastq.gz SRR627431_2.fastq.gz
