gtex_d	gtex_d_R1	gtex_d_R2
SRR1073923	SRR1073923_1.fastq.gz	SRR1073923_2.fastq.gz
SRR1073947	SRR1073947_1.fastq.gz	SRR1073947_2.fastq.gz
SRR1073971	SRR1073971_1.fastq.gz	SRR1073971_2.fastq.gz
SRR1073991	SRR1073991_1.fastq.gz	SRR1073991_2.fastq.gz
SRR1074017	SRR1074017_1.fastq.gz	SRR1074017_2.fastq.gz
SRR1074041	SRR1074041_1.fastq.gz	SRR1074041_2.fastq.gz
SRR1074066	SRR1074066_1.fastq.gz	SRR1074066_2.fastq.gz
SRR1074090	SRR1074090_1.fastq.gz	SRR1074090_2.fastq.gz
SRR1074116	SRR1074116_1.fastq.gz	SRR1074116_2.fastq.gz
SRR1074140	SRR1074140_1.fastq.gz	SRR1074140_2.fastq.gz
SRR1074164	SRR1074164_1.fastq.gz	SRR1074164_2.fastq.gz
SRR1074189	SRR1074189_1.fastq.gz	SRR1074189_2.fastq.gz
SRR1074214	SRR1074214_1.fastq.gz	SRR1074214_2.fastq.gz
SRR1074239	SRR1074239_1.fastq.gz	SRR1074239_2.fastq.gz
SRR1074263	SRR1074263_1.fastq.gz	SRR1074263_2.fastq.gz
SRR1074289	SRR1074289_1.fastq.gz	SRR1074289_2.fastq.gz
SRR1074314	SRR1074314_1.fastq.gz	SRR1074314_2.fastq.gz
SRR1074337	SRR1074337_1.fastq.gz	SRR1074337_2.fastq.gz
SRR1074359	SRR1074359_1.fastq.gz	SRR1074359_2.fastq.gz
SRR1074385	SRR1074385_1.fastq.gz	SRR1074385_2.fastq.gz
SRR1074410	SRR1074410_1.fastq.gz	SRR1074410_2.fastq.gz
SRR1074430	SRR1074430_1.fastq.gz	SRR1074430_2.fastq.gz
SRR1074450	SRR1074450_1.fastq.gz	SRR1074450_2.fastq.gz
SRR1074474	SRR1074474_1.fastq.gz	SRR1074474_2.fastq.gz
SRR1074478	SRR1074478_1.fastq.gz	SRR1074478_2.fastq.gz
SRR1074502	SRR1074502_1.fastq.gz	SRR1074502_2.fastq.gz
SRR1074526	SRR1074526_1.fastq.gz	SRR1074526_2.fastq.gz
SRR1074550	SRR1074550_1.fastq.gz	SRR1074550_2.fastq.gz
SRR1074578	SRR1074578_1.fastq.gz	SRR1074578_2.fastq.gz
SRR1074602	SRR1074602_1.fastq.gz	SRR1074602_2.fastq.gz
SRR1074622	SRR1074622_1.fastq.gz	SRR1074622_2.fastq.gz
SRR1074646	SRR1074646_1.fastq.gz	SRR1074646_2.fastq.gz
SRR1074670	SRR1074670_1.fastq.gz	SRR1074670_2.fastq.gz
SRR1074694	SRR1074694_1.fastq.gz	SRR1074694_2.fastq.gz
SRR1074719	SRR1074719_1.fastq.gz	SRR1074719_2.fastq.gz
SRR1074744	SRR1074744_1.fastq.gz	SRR1074744_2.fastq.gz
SRR1074769	SRR1074769_1.fastq.gz	SRR1074769_2.fastq.gz
SRR1074790	SRR1074790_1.fastq.gz	SRR1074790_2.fastq.gz
SRR1074815	SRR1074815_1.fastq.gz	SRR1074815_2.fastq.gz
SRR1074839	SRR1074839_1.fastq.gz	SRR1074839_2.fastq.gz
SRR1074860	SRR1074860_1.fastq.gz	SRR1074860_2.fastq.gz
SRR1074884	SRR1074884_1.fastq.gz	SRR1074884_2.fastq.gz
SRR1074909	SRR1074909_1.fastq.gz	SRR1074909_2.fastq.gz
SRR1074934	SRR1074934_1.fastq.gz	SRR1074934_2.fastq.gz
SRR1074956	SRR1074956_1.fastq.gz	SRR1074956_2.fastq.gz
SRR1074980	SRR1074980_1.fastq.gz	SRR1074980_2.fastq.gz
SRR1075004	SRR1075004_1.fastq.gz	SRR1075004_2.fastq.gz
SRR1075028	SRR1075028_1.fastq.gz	SRR1075028_2.fastq.gz
SRR1075054	SRR1075054_1.fastq.gz	SRR1075054_2.fastq.gz
SRR1075078	SRR1075078_1.fastq.gz	SRR1075078_2.fastq.gz
SRR1075102	SRR1075102_1.fastq.gz	SRR1075102_2.fastq.gz
SRR1075126	SRR1075126_1.fastq.gz	SRR1075126_2.fastq.gz
SRR1075150	SRR1075150_1.fastq.gz	SRR1075150_2.fastq.gz
SRR1075174	SRR1075174_1.fastq.gz	SRR1075174_2.fastq.gz
SRR1075198	SRR1075198_1.fastq.gz	SRR1075198_2.fastq.gz
SRR1075223	SRR1075223_1.fastq.gz	SRR1075223_2.fastq.gz
