SRR1405028 SRR1405028_1.fastq.gz SRR1405028_2.fastq.gz
SRR1405206 SRR1405206_1.fastq.gz SRR1405206_2.fastq.gz
SRR1405593 SRR1405593_1.fastq.gz SRR1405593_2.fastq.gz
SRR1405886 SRR1405886_1.fastq.gz SRR1405886_2.fastq.gz
SRR1406069 SRR1406069_1.fastq.gz SRR1406069_2.fastq.gz
SRR1406243 SRR1406243_1.fastq.gz SRR1406243_2.fastq.gz
SRR1406265 SRR1406265_1.fastq.gz SRR1406265_2.fastq.gz
SRR1406599 SRR1406599_1.fastq.gz SRR1406599_2.fastq.gz
SRR1406662 SRR1406662_1.fastq.gz SRR1406662_2.fastq.gz
SRR1407202 SRR1407202_1.fastq.gz SRR1407202_2.fastq.gz
SRR1407470 SRR1407470_1.fastq.gz SRR1407470_2.fastq.gz
SRR1408072 SRR1408072_1.fastq.gz SRR1408072_2.fastq.gz
SRR1408227 SRR1408227_1.fastq.gz SRR1408227_2.fastq.gz
SRR1408657 SRR1408657_1.fastq.gz SRR1408657_2.fastq.gz
SRR1409487 SRR1409487_1.fastq.gz SRR1409487_2.fastq.gz
SRR1409641 SRR1409641_1.fastq.gz SRR1409641_2.fastq.gz
SRR1409748 SRR1409748_1.fastq.gz SRR1409748_2.fastq.gz
SRR1410334 SRR1410334_1.fastq.gz SRR1410334_2.fastq.gz
SRR1414857 SRR1414857_1.fastq.gz SRR1414857_2.fastq.gz
SRR1414982 SRR1414982_1.fastq.gz SRR1414982_2.fastq.gz
SRR1416166 SRR1416166_1.fastq.gz SRR1416166_2.fastq.gz
SRR1417766 SRR1417766_1.fastq.gz SRR1417766_2.fastq.gz
SRR1417960 SRR1417960_1.fastq.gz SRR1417960_2.fastq.gz
SRR1418390 SRR1418390_1.fastq.gz SRR1418390_2.fastq.gz
SRR1418946 SRR1418946_1.fastq.gz SRR1418946_2.fastq.gz
SRR1419453 SRR1419453_1.fastq.gz SRR1419453_2.fastq.gz
SRR1419615 SRR1419615_1.fastq.gz SRR1419615_2.fastq.gz
SRR1419638 SRR1419638_1.fastq.gz SRR1419638_2.fastq.gz
SRR1419829 SRR1419829_1.fastq.gz SRR1419829_2.fastq.gz
SRR1420606 SRR1420606_1.fastq.gz SRR1420606_2.fastq.gz
SRR1420811 SRR1420811_1.fastq.gz SRR1420811_2.fastq.gz
SRR1429516 SRR1429516_1.fastq.gz SRR1429516_2.fastq.gz
SRR1429802 SRR1429802_1.fastq.gz SRR1429802_2.fastq.gz
SRR1430133 SRR1430133_1.fastq.gz SRR1430133_2.fastq.gz
SRR1430357 SRR1430357_1.fastq.gz SRR1430357_2.fastq.gz
SRR1430420 SRR1430420_1.fastq.gz SRR1430420_2.fastq.gz
