SRR1323764 SRR1323764_1.fastq.gz SRR1323764_2.fastq.gz
SRR1323807 SRR1323807_1.fastq.gz SRR1323807_2.fastq.gz
SRR1324043 SRR1324043_1.fastq.gz SRR1324043_2.fastq.gz
SRR1324371 SRR1324371_1.fastq.gz SRR1324371_2.fastq.gz
SRR1324431 SRR1324431_1.fastq.gz SRR1324431_2.fastq.gz
SRR1324452 SRR1324452_1.fastq.gz SRR1324452_2.fastq.gz
SRR1325332 SRR1325332_1.fastq.gz SRR1325332_2.fastq.gz
SRR1325401 SRR1325401_1.fastq.gz SRR1325401_2.fastq.gz
SRR1325665 SRR1325665_1.fastq.gz SRR1325665_2.fastq.gz
SRR1325927 SRR1325927_1.fastq.gz SRR1325927_2.fastq.gz
SRR1325964 SRR1325964_1.fastq.gz SRR1325964_2.fastq.gz
SRR1325986 SRR1325986_1.fastq.gz SRR1325986_2.fastq.gz
SRR1326179 SRR1326179_1.fastq.gz SRR1326179_2.fastq.gz
SRR1326366 SRR1326366_1.fastq.gz SRR1326366_2.fastq.gz
SRR1327593 SRR1327593_1.fastq.gz SRR1327593_2.fastq.gz
SRR1327811 SRR1327811_1.fastq.gz SRR1327811_2.fastq.gz
SRR1327975 SRR1327975_1.fastq.gz SRR1327975_2.fastq.gz
SRR1328035 SRR1328035_1.fastq.gz SRR1328035_2.fastq.gz
SRR1328487 SRR1328487_1.fastq.gz SRR1328487_2.fastq.gz
SRR1328599 SRR1328599_1.fastq.gz SRR1328599_2.fastq.gz
SRR1328895 SRR1328895_1.fastq.gz SRR1328895_2.fastq.gz
SRR1328919 SRR1328919_1.fastq.gz SRR1328919_2.fastq.gz
SRR1328960 SRR1328960_1.fastq.gz SRR1328960_2.fastq.gz
SRR1329090 SRR1329090_1.fastq.gz SRR1329090_2.fastq.gz
SRR1329334 SRR1329334_1.fastq.gz SRR1329334_2.fastq.gz
SRR1329377 SRR1329377_1.fastq.gz SRR1329377_2.fastq.gz
SRR1329551 SRR1329551_1.fastq.gz SRR1329551_2.fastq.gz
SRR1329761 SRR1329761_1.fastq.gz SRR1329761_2.fastq.gz
SRR1329835 SRR1329835_1.fastq.gz SRR1329835_2.fastq.gz
SRR1329885 SRR1329885_1.fastq.gz SRR1329885_2.fastq.gz
SRR1330041 SRR1330041_1.fastq.gz SRR1330041_2.fastq.gz
SRR1330061 SRR1330061_1.fastq.gz SRR1330061_2.fastq.gz
SRR1330346 SRR1330346_1.fastq.gz SRR1330346_2.fastq.gz
SRR1330498 SRR1330498_1.fastq.gz SRR1330498_2.fastq.gz
SRR1330546 SRR1330546_1.fastq.gz SRR1330546_2.fastq.gz
SRR1330656 SRR1330656_1.fastq.gz SRR1330656_2.fastq.gz
SRR1330675 SRR1330675_1.fastq.gz SRR1330675_2.fastq.gz
SRR1330699 SRR1330699_1.fastq.gz SRR1330699_2.fastq.gz
SRR1331289 SRR1331289_1.fastq.gz SRR1331289_2.fastq.gz
SRR1331335 SRR1331335_1.fastq.gz SRR1331335_2.fastq.gz
SRR1331466 SRR1331466_1.fastq.gz SRR1331466_2.fastq.gz
SRR1331511 SRR1331511_1.fastq.gz SRR1331511_2.fastq.gz
SRR1331534 SRR1331534_1.fastq.gz SRR1331534_2.fastq.gz
SRR1331579 SRR1331579_1.fastq.gz SRR1331579_2.fastq.gz
SRR1331597 SRR1331597_1.fastq.gz SRR1331597_2.fastq.gz
SRR1331751 SRR1331751_1.fastq.gz SRR1331751_2.fastq.gz
SRR1331841 SRR1331841_1.fastq.gz SRR1331841_2.fastq.gz
SRR1331944 SRR1331944_1.fastq.gz SRR1331944_2.fastq.gz
SRR1332048 SRR1332048_1.fastq.gz SRR1332048_2.fastq.gz
SRR1332275 SRR1332275_1.fastq.gz SRR1332275_2.fastq.gz
SRR1332317 SRR1332317_1.fastq.gz SRR1332317_2.fastq.gz
SRR1332796 SRR1332796_1.fastq.gz SRR1332796_2.fastq.gz
SRR1332856 SRR1332856_1.fastq.gz SRR1332856_2.fastq.gz
SRR1333352 SRR1333352_1.fastq.gz SRR1333352_2.fastq.gz
SRR1333587 SRR1333587_1.fastq.gz SRR1333587_2.fastq.gz
SRR1333694 SRR1333694_1.fastq.gz SRR1333694_2.fastq.gz
SRR1333741 SRR1333741_1.fastq.gz SRR1333741_2.fastq.gz
SRR1333767 SRR1333767_1.fastq.gz SRR1333767_2.fastq.gz
SRR1333930 SRR1333930_1.fastq.gz SRR1333930_2.fastq.gz
SRR1334033 SRR1334033_1.fastq.gz SRR1334033_2.fastq.gz
SRR1334440 SRR1334440_1.fastq.gz SRR1334440_2.fastq.gz
SRR1334564 SRR1334564_1.fastq.gz SRR1334564_2.fastq.gz
SRR1334717 SRR1334717_1.fastq.gz SRR1334717_2.fastq.gz
SRR1334741 SRR1334741_1.fastq.gz SRR1334741_2.fastq.gz
SRR1334847 SRR1334847_1.fastq.gz SRR1334847_2.fastq.gz
SRR1334960 SRR1334960_1.fastq.gz SRR1334960_2.fastq.gz
SRR1335029 SRR1335029_1.fastq.gz SRR1335029_2.fastq.gz
SRR1335047 SRR1335047_1.fastq.gz SRR1335047_2.fastq.gz
SRR1335064 SRR1335064_1.fastq.gz SRR1335064_2.fastq.gz
SRR1335254 SRR1335254_1.fastq.gz SRR1335254_2.fastq.gz
SRR1335377 SRR1335377_1.fastq.gz SRR1335377_2.fastq.gz
SRR1335400 SRR1335400_1.fastq.gz SRR1335400_2.fastq.gz
SRR1335446 SRR1335446_1.fastq.gz SRR1335446_2.fastq.gz
SRR1335651 SRR1335651_1.fastq.gz SRR1335651_2.fastq.gz
SRR1335688 SRR1335688_1.fastq.gz SRR1335688_2.fastq.gz
SRR1335707 SRR1335707_1.fastq.gz SRR1335707_2.fastq.gz
SRR1335856 SRR1335856_1.fastq.gz SRR1335856_2.fastq.gz
SRR1336006 SRR1336006_1.fastq.gz SRR1336006_2.fastq.gz
SRR1336069 SRR1336069_1.fastq.gz SRR1336069_2.fastq.gz
SRR1336158 SRR1336158_1.fastq.gz SRR1336158_2.fastq.gz
SRR1336292 SRR1336292_1.fastq.gz SRR1336292_2.fastq.gz
